film_title,rental_date,return_date,days_rented,payment_amount,payment_date
"OSCAR GOLD","2005-08-23 13:51:57","2005-08-27 17:06:57",4,2.99,"2005-08-23 13:51:57"
"STALLION SUNDANCE","2005-08-23 07:13:43","2005-08-29 08:19:43",6,1.99,"2005-08-23 07:13:43"
"SCARFACE BANG","2005-08-23 03:43:32","2005-08-25 07:31:32",2,4.99,"2005-08-23 03:43:32"
"CLUELESS BUCKET","2005-08-22 14:25:21","2005-08-31 14:28:21",9,7.99,"2005-08-22 14:25:21"
"SIMON NORTH","2005-08-20 08:26:06","2005-08-25 05:52:06",5,2.99,"2005-08-20 08:26:06"
"BONNIE HOLOCAUST","2005-08-18 09:27:34","2005-08-25 13:10:34",7,3.99,"2005-08-18 09:27:34"
"DANCING FEVER","2005-08-18 07:46:35","2005-08-26 12:01:35",8,2.99,"2005-08-18 07:46:35"
"LEAGUE HELLFIGHTERS","2005-08-01 03:53:49","2005-08-10 03:56:49",9,8.99,"2005-08-01 03:53:49"
"VAMPIRE WHALE","2005-07-31 19:30:01","2005-08-01 14:45:01",1,4.99,"2005-07-31 19:30:01"
"CONNECTICUT TRAMP","2005-07-31 01:05:26","2005-08-02 22:30:26",2,4.99,"2005-07-31 01:05:26"
"TIGHTS DAWN","2005-07-29 16:53:00","2005-08-07 20:31:00",9,4.99,"2005-07-29 16:53:00"
"JEKYLL FROGMEN","2005-07-28 13:57:37","2005-08-04 19:31:37",7,5.99,"2005-07-28 13:57:37"
"SALUTE APOLLO","2005-07-28 09:34:29","2005-07-30 05:48:29",2,2.99,"2005-07-28 09:34:29"
"LOVE SUICIDES","2005-07-28 06:44:03","2005-07-29 09:46:03",1,0.99,"2005-07-28 06:44:03"
"JUMPING WRATH","2005-07-28 04:52:43","2005-08-03 01:12:43",6,2.99,"2005-07-28 04:52:43"
"COMANCHEROS ENEMY","2005-07-27 21:32:39","2005-08-05 23:42:39",9,4.99,"2005-07-27 21:32:39"
"BREAKFAST GOLDFINGER","2005-07-08 18:54:07","2005-07-17 15:09:07",9,8.99,"2005-07-08 18:54:07"
"BROTHERHOOD BLANKET","2005-07-07 23:05:30","2005-07-13 22:20:30",6,3.99,"2005-07-07 23:05:30"
"CONTACT ANONYMOUS","2005-06-19 05:43:43","2005-06-25 03:41:43",6,2.99,"2005-06-19 05:43:43"
"DATE SPEED","2005-06-17 08:30:35","2005-06-20 10:43:35",3,0.99,"2005-06-17 08:30:35"
"HILLS NEIGHBORS","2005-06-16 18:28:19","2005-06-25 13:09:19",9,4.99,"2005-06-16 18:28:19"
"ANONYMOUS HUMAN","2005-06-16 17:00:14","2005-06-17 12:12:14",1,0.99,"2005-06-16 17:00:14"
"SCISSORHANDS SLUMS","2005-06-15 21:42:17","2005-06-22 02:01:17",7,4.99,"2005-06-15 21:42:17"
"SHAKESPEARE SADDLE","2005-05-30 23:47:56","2005-06-05 19:01:56",6,2.99,"2005-05-30 23:47:56"
